検索キーワード レポート
全期間
キーワードのステータス,キーワード,マッチタイプ,広告グループ,ステータス,ステータスの理由,最終ページ URL,表示回数,クリック率,通貨コード,費用,クリック数,コンバージョン率,コンバージョン,平均クリック単価,コンバージョン単価
有効,"""オンラインガチャ システム""",フレーズ一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オリパ サイト 作成],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オリパ 開業],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オリパ システム],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,"""オンラインくじ システム""",フレーズ一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[ガチャ ec システム],完全一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オンラインガチャ システム 開発],完全一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,"""オリパサイト 制作""",フレーズ一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オンラインガチャ システム],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オンラインオリパ 作り方],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,"""オリパ システム 開発""",フレーズ一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オンラインくじ システム],完全一致,広告グループ 1 個,有効,,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オンラインガチャ 開業],完全一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,[オリパサイト 制作],完全一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
有効,"""オンラインガチャ 開業""",フレーズ一致,広告グループ 1 個,対象外,低い掲載率,,0, --,JPY,0,0,0.00%,0.00,0,0
 --,,合計: すべてのキーワード（削除済みを除く）, --, --,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: キャンペーン内のキーワード,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: キーワード,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: AI 最大化設定のキーワード拡張,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: AI 最大化設定のキーワード以外の拡張,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: キャンペーン内の URL の登録,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
,,合計: キャンペーン,,,,,0, --,JPY,0,0,0.00%,0.00,0,0
